,asin,brand,color,medium_image_url,product_type_name,title,formatted_price,digital
11828,B0713YWGJ4,nrs ,"grey,navy",https://images-na.ssl-images-amazon.com/images/I/418zgEBQJOL._SL160_.jpg,SHIRT,umgee womens umgee 34 sleeve print top wpocket greynavy ,29.97,False
11829,B072FLSC8Y,friendztrendz ,white,https://images-na.ssl-images-amazon.com/images/I/41ycUVMXawL._SL160_.jpg,SHIRT,friendz trendzladies born rock star rock n roll choker neck biker tops sm white ,13.0,False
11830,B073GC1XVT,living doll ,blue,https://images-na.ssl-images-amazon.com/images/I/41vBG80LLoL._SL160_.jpg,SHIRT,living doll shoulder lace hem top ,28.0,False
11831,B06Y1JJ1WF,white stag ,white,https://images-na.ssl-images-amazon.com/images/I/41hj7epFSLL._SL160_.jpg,SHIRT,white stag womens long sleeve scoopneck christmas tshirt whitetree small ,11.87,False
11832,B074P8T1D9,socialite ,black,https://images-na.ssl-images-amazon.com/images/I/51sODal%2BvpL._SL160_.jpg,SHIRT,socialite printed womens medium tank cami camisole black ,18.99,False
11833,B01LZWFA41,ezsskj ,blue,https://images-na.ssl-images-amazon.com/images/I/61kfESHrkVL._SL160_.jpg,SHIRT,ezsskj women short sleeve loose striped shirts casual tee blouse tops ,6.99,False
11834,B019DPNKOA,dreamr ,white,https://images-na.ssl-images-amazon.com/images/I/41zNd36lk%2BL._SL160_.jpg,SHIRT,chaser womens graphic tank xs white ,14.68,False
11835,B01KC89SES,hohoe custom ,red,https://images-na.ssl-images-amazon.com/images/I/415IKWRCQBL._SL160_.jpg,BOOKS_1973_AND_LATER,hohoe ladys 34 sleeve raglan legend zelda fitted baseball tshirt red xxl ,9.52,False
11836,B06XKFCVH9,binmertm ,pink,https://images-na.ssl-images-amazon.com/images/I/41I8gKXqA7L._SL160_.jpg,SHIRT,binmertm women fashion long sleeve deep v collar blouse elastic tops tshirt l hot pink ,7.24,False
11837,B0722P5DGV,mossimo ,blue,https://images-na.ssl-images-amazon.com/images/I/41d50tYsMbL._SL160_.jpg,SHIRT,mossimo womens high neck long sleeve tunic medium blue ,18.99,False
11838,B013DP0EXQ,zeko ,blue,https://images-na.ssl-images-amazon.com/images/I/515Lo4r8mrL._SL160_.jpg,SHIRT,zeko womens tshirts keep calm size xs royalblue ,8.9,False
11839,B06XPH8CHT,head case designs ,gray,https://images-na.ssl-images-amazon.com/images/I/51NQoUfY8iL._SL160_.jpg,SHIRT,official vin zzep death star cone art  medium gray tshirt women ,28.45,False
11840,B071G9HF9S,mickey mouse ,yellow,https://images-na.ssl-images-amazon.com/images/I/51Gk7Yloc%2BL._SL160_.jpg,SHIRT,disney juniors minnie mouse selfie portrait yellow shirt glitter hashtag ,9.56,False
11841,B011P6DEZK,next level apparel ,white,https://images-na.ssl-images-amazon.com/images/I/41qTesDE-mL._SL160_.jpg,SHIRT,jersey tank  classic white  2xl ,8.51,False
11842,B01N5Q463Q,electro threads ,white,https://images-na.ssl-images-amazon.com/images/I/51Gn49F3%2B3L._SL160_.jpg,SHIRT,electro threads spread good vibes shirt xxxlarge ,19.95,False
11843,B074MJMZJ5,ten sixty sherman ,black,https://images-na.ssl-images-amazon.com/images/I/51L8SNnKQmL._SL160_.jpg,SHIRT,ten sixty sherman ivory womens stripe mockneck knit top black xs ,13.63,False
11844,B00YEDRKFC,colortone ,light blue,https://images-na.ssl-images-amazon.com/images/I/21ga0qTsa3L._SL160_.jpg,SHIRT,colortone t1000 spider adult tee  kelly  ,9.77,False
11845,B06Y5W1RS5,boundaries ,orange,https://images-na.ssl-images-amazon.com/images/I/41ruhp0UFWL._SL160_.jpg,SHIRT,boundaries juniors mandarin collar tunic wlace yolk back berry small 35 ,13.55,False
11846,B00YYZIQ3U,gant ,red,https://images-na.ssl-images-amazon.com/images/I/416ymA6XFZL._SL160_.jpg,APPAREL,gant womens striped slipover sweater vest medium dark red ,19.59,False
11847,B01N0AA65O,sullen art collective ,"grey,black",https://images-na.ssl-images-amazon.com/images/I/41KA38yY12L._SL160_.jpg,SHIRT,womens sullen needle pusher raglan tshirt black 2xl ,29.95,False
11848,B01BXAWDF0,john deere ,pink,https://images-na.ssl-images-amazon.com/images/I/41axU9RXj8L._SL160_.jpg,SHIRT,ladies john deere performance tshirt fuscia  183288 ,12.99,False
11849,B071XDM2P6,polo ralph lauren ,white,https://images-na.ssl-images-amazon.com/images/I/41-ngvfEARL._SL160_.jpg,APPAREL,denim  supply ralph lauren womens slub embroidered peasant top ivory ,62.66,False
11850,B074WLWVVQ,liz claiborne new york ,brown,https://images-na.ssl-images-amazon.com/images/I/41ERoWaE4xL._SL160_.jpg,SHIRT,liz claiborne ny 34 slv tee lace neckline a262179 soft taupe xl ,16.97,False
11851,B06XKYXBKP,frame ,navy,https://images-na.ssl-images-amazon.com/images/I/31FbPn7IHXL._SL160_.jpg,SHIRT,frame navy sleeveless silk blouse ,149.0,False
11852,B071YVX27X,zoa ,orange,https://images-na.ssl-images-amazon.com/images/I/41SS29OOZhL._SL160_.jpg,SHIRT,zoa womens cap sleeve collared shirt papaya medium ,55.0,False
11853,B00JFCCJQM,three cranes gallery ,gray,https://images-na.ssl-images-amazon.com/images/I/41umEeuk5aL._SL160_.jpg,SHIRT,tcg womens tiedye drawstring blouse  tealmulti ,38.0,False
11854,B017IBB8LI,matty ,grey,https://images-na.ssl-images-amazon.com/images/I/413MaY0Zs2L._SL160_.jpg,SHIRT,matty ladies midi skirt pullon style fully lined knee length xs ,0.23,False
11855,B01M61B6GM,dsquared2 ,blue,https://images-na.ssl-images-amazon.com/images/I/41V6SQgdqBL._SL160_.jpg,SHIRT,dsquared2 aqua blue sleeveless womens knitted top us xs 38 ,74.99,False
11856,B01N3SB39B,state mine ,pink,https://images-na.ssl-images-amazon.com/images/I/51xF4u4bMdL._SL160_.jpg,SHIRT,state mine ladies size medium tx shirt pink heather ,19.99,False
11857,B06ZZMXP8K,ep pro ,blue,https://images-na.ssl-images-amazon.com/images/I/41d8jMJu9LL._SL160_.jpg,SHIRT,ep pro womens crossover v placket sleeveless polo blue ,19.98,False
11858,B0753QLDKB,zadig  voltaire ,red orange,https://images-na.ssl-images-amazon.com/images/I/31DoIyu7ksL._SL160_.jpg,SHIRT,zadig  voltaire womens alda racerbank tank top ,49.97,False
11859,B01BR1Q4PU,vansty ,pink,https://images-na.ssl-images-amazon.com/images/I/41C3R-9mhIL._SL160_.jpg,BOOKS_1973_AND_LATER,vansty jake miller short sleeves tshirt female pink size ,9.69,False
11860,B01M12O3WS,yepme ,blue,https://images-na.ssl-images-amazon.com/images/I/316vRclqnBL._SL160_.jpg,SHIRT,yepme womens blue poly cotton tunics size  ean  8907309484765 ,18.0,False
11861,B074TM1HJB,como vintage ,"red,navy",https://images-na.ssl-images-amazon.com/images/I/515vAs42QJL._SL160_.jpg,SHIRT,como vintage womens rayon plaid casual bell sleeve blouse top  navyred xlarge ,48.0,False
11862,B00YYZJLVQ,gant ,orange,https://images-na.ssl-images-amazon.com/images/I/31C2cllZY5L._SL160_.jpg,APPAREL,gant womens conneticut tank top medium putty ,15.99,False
11863,B014PCDB40,jeff ,black,https://images-na.ssl-images-amazon.com/images/I/41I5UwUCEpL._SL160_.jpg,SHIRT,jeff women university southern california logo usc vneck tee medium ,6.5,False
11864,B0747P796Q,john paul richard ,red,https://images-na.ssl-images-amazon.com/images/I/51lx570LAkL._SL160_.jpg,SHIRT,john paul richard red top blouse short sleeve size nwt  movaz ,14.49,False
11865,B00IX9MJ72,ca fashion ,"black,white",https://images-na.ssl-images-amazon.com/images/I/41BfIvhVkLL._SL160_.jpg,SHIRT,ca fashion womens batwing striped asymmetrical hem high low tee tops tshirt black ,21.99,False
11866,B074WCBFYG,project social ,brown,https://images-na.ssl-images-amazon.com/images/I/41mu2uOqQiL._SL160_.jpg,SHIRT,project social womens large graphic scoopneck tank brown l ,17.23,False
11867,B01GTF66E8,madewell ,tan,https://images-na.ssl-images-amazon.com/images/I/41gXoZXf9iL._SL160_.jpg,SHIRT,j crew madewell le minor dip dyed tee sz 4 style  48155 ,69.99,False
11868,B074FRKBC5,dsquared2 ,white,https://images-na.ssl-images-amazon.com/images/I/419R2Ga5AlL._SL160_.jpg,SHIRT,dsquared2 100 silk white see womens short sleeve blouse us 42 ,99.99,False
11869,B0755KFWXZ,dna design collective ,blue,https://images-na.ssl-images-amazon.com/images/I/41PwHKhZcQL._SL160_.jpg,SHIRT,dna rhea long sleeve knit top md 1416 cadet blue ,90.99,False
11870,B06VVBRVQG,denim supply ralph lauren ,white,https://images-na.ssl-images-amazon.com/images/I/416O8qXMeGL._SL160_.jpg,SHIRT,denim  supply ralph lauren keyhole blouse white small ,68.0,False
11871,B06X1CKXFM,jcrew ,navy,https://images-na.ssl-images-amazon.com/images/I/51G8%2BZvnDoL._SL160_.jpg,SHIRT,jcrew perfect shirt foil dot navy ,59.8,False
11872,B072BLD5JV,maison margiela mm6 ,red,https://images-na.ssl-images-amazon.com/images/I/415NtUb%2BArL._SL160_.jpg,SHIRT,maison margiela mm6 red sleeveless denim womens blouse top us 42 ,84.99,False
11873,B0757WTXX6,bobeau ,blue,https://images-na.ssl-images-amazon.com/images/I/51oAQA9qhIL._SL160_.jpg,SHIRT,bobeau gray womens small star print graphic tee tshirt blue ,36.0,False
11874,B016685SU6,shfl ,Beige,https://images-na.ssl-images-amazon.com/images/I/41lmLCvQciL._SL160_.jpg,SHIRT,shfl lady snoopy woodstock 100 cotton shirt skyblue ,7.51,False
11875,B071P7XYJF,calamity jane ,green,https://images-na.ssl-images-amazon.com/images/I/41ECsab6QNL._SL160_.jpg,SHIRT,calamity jane ss oklahoma home sea green womens shirt ,9.5,False
11876,B01H2VV7ZQ,tony arden ,black,https://images-na.ssl-images-amazon.com/images/I/517k3DlNV8L._SL160_.jpg,BOOKS_1973_AND_LATER,lana del rey born die 2 shirts women black ,7.5,False
11877,B00JKOMWEE,ragstock ,navy,https://images-na.ssl-images-amazon.com/images/I/41s-5Gz1CwL._SL160_.jpg,SHIRT,plain long lace trim spaghetti strap camisole tank top navy ,7.0,False
11878,B01B1I42K8,qincent ,jade green,https://images-na.ssl-images-amazon.com/images/I/41hOmfWH%2BLL._SL160_.jpg,BOOKS_1973_AND_LATER,qincent womens normal fit tshirts unicycle hockey ,9.26,False
11879,B01JW85Z32,boxinger ,black,https://images-na.ssl-images-amazon.com/images/I/514-Wt%2BsHwL._SL160_.jpg,BOOKS_1973_AND_LATER,ztarve full purple woman black tank top tshirt ,7.5,False
11880,B00I890J42,camooutdoor ,black,https://images-na.ssl-images-amazon.com/images/I/41Oj18PpP%2BL._SL160_.jpg,SPORTING_GOODS,urban classics ladies  multi naps loose tank top black ,13.6,False
11881,B016UFZ1HU,dasy ,white,https://images-na.ssl-images-amazon.com/images/I/41cEZ9u0i9L._SL160_.jpg,SHIRT,dasywomenptx pentatonix tank topxxlarge white ,15.08,False
11882,B007N3WV6I,forgot souvenirs ,white,https://images-na.ssl-images-amazon.com/images/I/31oRq6%2BchXL._SL160_.jpg,SHIRT,love ny white shirt ,8.0,False
11883,B06XPG71TH,head case designs ,"blue,gray",https://images-na.ssl-images-amazon.com/images/I/51VZGSmqM%2BL._SL160_.jpg,SHIRT,official tummeow blue eyes art l  large gray tshirt women ,28.45,False
11884,B0756KGX77,salvatore ferragamo ,jade green,https://images-na.ssl-images-amazon.com/images/I/41vpCPvLflL._SL160_.jpg,SWEATER,salvatore ferragamo geometric print tunic 44 8 ,149.0,False
11885,B074TXY9K7,laundry shelli segal ,white,https://images-na.ssl-images-amazon.com/images/I/41fMFD5cJ5L._SL160_.jpg,SHIRT,laundry shelli segal womens tank 6 white ,34.99,False
11886,B01MRGWLNU,two vince camuto ,blue,https://images-na.ssl-images-amazon.com/images/I/41MyKtF%2BpQL._SL160_.jpg,SHIRT,two vince camuto womens lace trim handkerchief hem tank top navy xs ,14.48,False
11887,B073HV3FFQ,denim  supply ,black,https://images-na.ssl-images-amazon.com/images/I/41ayxU0y5lL._SL160_.jpg,APPAREL,denim  supply ralph lauren womens knit lace trim blouse black xs ,41.76,False
11888,B01BR69QT6,vansty ,violet,https://images-na.ssl-images-amazon.com/images/I/41VtE0wMBWL._SL160_.jpg,BOOKS_1973_AND_LATER,vansty linkin park 100 cotton shirt lady deepheather size l ,9.5,False
11889,B01L387BGS,vcord ,black,https://images-na.ssl-images-amazon.com/images/I/41c88Ch2%2BkL._SL160_.jpg,BOOKS_1973_AND_LATER,womans jabbawockeez red logo shirts black xxl ,8.99,False
11890,B01JTW28OK,styleco ,multicol,https://images-na.ssl-images-amazon.com/images/I/51G7sl88abL._SL160_.jpg,SHIRT,style  co petite new teal printed keyhole top pl ,14.5,False
11891,B06XD126M1,pam  gela ,pink,https://images-na.ssl-images-amazon.com/images/I/41noe91BFJL._SL160_.jpg,SHIRT,pam  gela womens kate burnout tshirt p pink ,29.99,False
11892,B01I6C450Y,blooming jelly ,light blue,https://images-na.ssl-images-amazon.com/images/I/51TqiBhnBSL._SL160_.jpg,OUTERWEAR,womens sheer mesh lace crop top summer halter tops sexy camis metallic tank tops vests ,13.49,False
11893,B072FQTSFK,valette ,black,https://images-na.ssl-images-amazon.com/images/I/51LlKnJNubL._SL160_.jpg,SHIRT,valette womens small embossed floral contrast blouse black ,10.97,False
11894,B012VRU7KW,km tshirt ,black,https://images-na.ssl-images-amazon.com/images/I/41C82oOWv3L._SL160_.jpg,SHIRT,km unisex fashion jellyfish pattern beach vest tshirt ,8.55,False
11895,B01BFLT2AG,beverly hills ,white,https://images-na.ssl-images-amazon.com/images/I/41326RFrltL._SL160_.jpg,BOOKS_1973_AND_LATER,officially licensed merchandise peach pit distressed girly tshirt white xxlarge ,19.99,False
11896,B01IOBXE6I,socialite ,black,https://images-na.ssl-images-amazon.com/images/I/41E4DRM1b6L._SL160_.jpg,SHIRT,socialite small junior long sleeve beaded blouse black ,13.97,False
11897,B06ZY9L8QH,tory burch ,gray,https://images-na.ssl-images-amazon.com/images/I/41IAgv34sgL._SL160_.jpg,SHIRT,tory burch linensilk pleated front sleeveless tunic seaside size 6 small ,144.0,False
11898,B01M62IOJO,harve bernard ,black,https://images-na.ssl-images-amazon.com/images/I/41JggSi97hL._SL160_.jpg,SHIRT,harve benard womens slvls button chiffon back small ,16.95,False
11899,B074R1JWMK,ultra flirt ,red,https://images-na.ssl-images-amazon.com/images/I/61ijWPpWwzL._SL160_.jpg,SLEEPWEAR,ultra flirt juniors shoulder peasant top shirt gypsy stripe xs ,24.95,False
11900,B074N6947M,sufei ,black,https://images-na.ssl-images-amazon.com/images/I/419tbvV6tQL._SL160_.jpg,SHIRT,sufei womens silk tshirt blouse tops one size black ,59.99,False
11901,B01C4ZE8P6,clothing america ,grey,https://images-na.ssl-images-amazon.com/images/I/51LAXDocenL._SL160_.jpg,SHIRT,curvy messy hair tank heather grey ,10.0,False
11902,B01N4800KW,rxb ,black,https://images-na.ssl-images-amazon.com/images/I/61iG11QIAnL._SL160_.jpg,SHIRT,rxb womens sleeveless long fashion tunic top blouse black lead plant ,22.99,False
11903,B00ZE3ZNC8,sullen art collective ,white,https://images-na.ssl-images-amazon.com/images/I/51yItAAQCFL._SL160_.jpg,SHIRT,sullen  womens hypnotize lct top white size small color white ,33.95,False
11904,B01H6WDUWY,hyxd ,black,https://images-na.ssl-images-amazon.com/images/I/41TQPOAm4sL._SL160_.jpg,BOOKS_1973_AND_LATER,captain america symbol tee womens black xl ,9.5,False
